"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3664","User login with correct email and password","LMS system","2026-07-16","passed","2026-07-16","Authorization","Authentication","",""
"","10887","User login with correct email and password","LMS system","2026-07-16","passed","2026-07-16","Authorization","Authentication","",""
"","0","test_smoke_test","tests.pytest","2026-07-16","passed","2026-07-16","","test_markers","",""
"","3963","User login with correct email and password","LMS system","2026-07-16","passed","2026-07-16","Authorization","Authentication","",""
"","1999","User login with wrong email or password","LMS system","2026-07-16","passed","2026-07-16","Authorization","Authentication","",""
"","1164","Check displaying of empty courses list","LMS system","2026-07-16","passed","2026-07-16","Courses","Courses","",""
"","3897","Edit course","LMS system","2026-07-16","passed","2026-07-16","Courses","Courses","",""
"","2834","User login with wrong email or password","LMS system","2026-07-16","passed","2026-07-16","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","2026-07-16","passed","2026-07-16","TestUserAuthentication","test_markers","",""
"","1786","Check displaying of dashboard page","LMS system","2026-07-16","passed","2026-07-16","Dashboard","Dashboard","",""
"","1585","Check displaying of dashboard page","LMS system","2026-07-16","passed","2026-07-16","Dashboard","Dashboard","",""
"","3137","Create course","LMS system","2026-07-16","passed","2026-07-16","Courses","Courses","",""
"","1349","Navigation from login page to registration page","LMS system","2026-07-16","passed","2026-07-16","Authorization","Authentication","",""
"","2239","User login with wrong email or password","LMS system","2026-07-16","passed","2026-07-16","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","2026-07-16","passed","2026-07-16","","test_markers","",""
"","1940","Registration with correct email, username and password","LMS system","2026-07-16","passed","2026-07-16","Registration","Authentication","",""
"","1203","Check displaying of empty courses list","LMS system","2026-07-16","passed","2026-07-16","Courses","Courses","",""
"","2205","Check displaying of dashboard page","LMS system","2026-07-16","passed","2026-07-16","Dashboard","Dashboard","",""
"","4114","Edit course","LMS system","2026-07-16","passed","2026-07-16","Courses","Courses","",""
"","1807","Check displaying of empty courses list","LMS system","2026-07-16","passed","2026-07-16","Courses","Courses","",""
"","1","test_forgot_password_link","tests.pytest","2026-07-16","passed","2026-07-16","TestUserInterface","test_markers","",""
"","2009","Registration with correct email, username and password","LMS system","2026-07-16","passed","2026-07-16","Registration","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-07-16","passed","2026-07-16","TestUserAuthentication","test_markers","",""
"","2087","User login with wrong email or password","LMS system","2026-07-16","passed","2026-07-16","Authorization","Authentication","",""
"","2084","User login with wrong email or password","LMS system","2026-07-16","passed","2026-07-16","Authorization","Authentication","",""
"","1715","User login with wrong email or password","LMS system","2026-07-16","passed","2026-07-16","Authorization","Authentication","",""
"","5136","Edit course","LMS system","2026-07-16","passed","2026-07-16","Courses","Courses","",""
"","1748","User login with wrong email or password","LMS system","2026-07-16","passed","2026-07-16","Authorization","Authentication","",""
"","2847","Registration with correct email, username and password","LMS system","2026-07-16","passed","2026-07-16","Registration","Authentication","",""
"","2539","Create course","LMS system","2026-07-16","passed","2026-07-16","Courses","Courses","",""
"","2004","Navigation from login page to registration page","LMS system","2026-07-16","passed","2026-07-16","Authorization","Authentication","",""
"","3400","Create course","LMS system","2026-07-16","passed","2026-07-16","Courses","Courses","",""
"","2226","User login with wrong email or password","LMS system","2026-07-16","passed","2026-07-16","Authorization","Authentication","",""
"","1864","Navigation from login page to registration page","LMS system","2026-07-16","passed","2026-07-16","Authorization","Authentication","",""
"","0","test_login","tests.pytest","2026-07-16","passed","2026-07-16","TestUserAuthentication","test_markers","",""
"","1780","User login with wrong email or password","LMS system","2026-07-16","passed","2026-07-16","Authorization","Authentication","",""
