"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3884","User login with correct email and password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","2892","Create course","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
"","0","test_logout","tests.pytest","2026-07-13","passed","2026-07-13","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","2026-07-13","passed","2026-07-13","","test_markers","",""
"","0","test_login","tests.pytest","2026-07-13","passed","2026-07-13","TestUserAuthentication","test_markers","",""
"","1792","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","4445","Edit course","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
"","2001","Check displaying of dashboard page","LMS system","2026-07-13","passed","2026-07-13","Dashboard","Dashboard","",""
"","2179","Check displaying of dashboard page","LMS system","2026-07-13","passed","2026-07-13","Dashboard","Dashboard","",""
"","1729","Check displaying of empty courses list","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
"","0","test_smoke_test","tests.pytest","2026-07-13","passed","2026-07-13","","test_markers","",""
"","2002","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","2002","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","10664","User login with correct email and password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","2716","Navigation from login page to registration page","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","2026-07-13","passed","2026-07-13","TestUserInterface","test_markers","",""
"","2487","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","4585","Edit course","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
"","1610","Check displaying of empty courses list","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","2026-07-13","passed","2026-07-13","TestUserAuthentication","test_markers","",""
"","1789","Registration with correct email, username and password","LMS system","2026-07-13","passed","2026-07-13","Registration","Authentication","",""
"","3822","User login with correct email and password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","2589","Registration with correct email, username and password","LMS system","2026-07-13","passed","2026-07-13","Registration","Authentication","",""
"","3291","Create course","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
"","2112","Registration with correct email, username and password","LMS system","2026-07-13","passed","2026-07-13","Registration","Authentication","",""
"","1773","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","1675","Check displaying of dashboard page","LMS system","2026-07-13","passed","2026-07-13","Dashboard","Dashboard","",""
"","1314","Navigation from login page to registration page","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","2236","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","2271","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","5768","Edit course","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
"","1444","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","1408","Check displaying of empty courses list","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
"","3141","Create course","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
"","3108","Navigation from login page to registration page","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","2202","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
