"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1605","Registration with correct email, username and password","LMS system","2026-07-13","passed","2026-07-13","Registration","Authentication","",""
"","1","test_smoke_test","tests.pytest","2026-07-13","passed","2026-07-13","","test_markers","",""
"","1603","Check displaying of empty courses list","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
"","1829","Registration with correct email, username and password","LMS system","2026-07-13","passed","2026-07-13","Registration","Authentication","",""
"","0","test_critical_login","tests.pytest","2026-07-13","passed","2026-07-13","","test_markers","",""
"","4062","Create course","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
"","4377","User login with correct email and password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","1207","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","2083","Check displaying of dashboard page","LMS system","2026-07-13","passed","2026-07-13","Dashboard","Dashboard","",""
"","1863","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","1909","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","1556","Check displaying of dashboard page","LMS system","2026-07-13","passed","2026-07-13","Dashboard","Dashboard","",""
"","1812","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","1197","Navigation from login page to registration page","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","0","test_login","tests.pytest","2026-07-13","passed","2026-07-13","TestUserAuthentication","test_markers","",""
"","1607","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","1322","Check displaying of empty courses list","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
"","1645","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","2454","Create course","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
"","1397","Navigation from login page to registration page","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","1431","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","3458","Edit course","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
"","3025","Create course","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
"","1649","Navigation from login page to registration page","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","1611","Check displaying of empty courses list","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
"","1","test_logout","tests.pytest","2026-07-13","passed","2026-07-13","TestUserAuthentication","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","2026-07-13","passed","2026-07-13","TestUserInterface","test_markers","",""
"","3416","Edit course","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
"","1947","Check displaying of dashboard page","LMS system","2026-07-13","passed","2026-07-13","Dashboard","Dashboard","",""
"","7420","User login with correct email and password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","1494","Registration with correct email, username and password","LMS system","2026-07-13","passed","2026-07-13","Registration","Authentication","",""
"","3131","User login with correct email and password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","1816","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-07-13","passed","2026-07-13","TestUserAuthentication","test_markers","",""
"","2727","User login with wrong email or password","LMS system","2026-07-13","passed","2026-07-13","Authorization","Authentication","",""
"","4135","Edit course","LMS system","2026-07-13","passed","2026-07-13","Courses","Courses","",""
