"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_critical_login","tests.pytest","2026-07-17","passed","2026-07-17","","test_markers","",""
"","2147","Check displaying of empty courses list","LMS system","2026-07-17","passed","2026-07-17","Courses","Courses","",""
"","2448","Registration with correct email, username and password","LMS system","2026-07-17","passed","2026-07-17","Registration","Authentication","",""
"","1901","Registration with correct email, username and password","LMS system","2026-07-17","passed","2026-07-17","Registration","Authentication","",""
"","2049","Navigation from login page to registration page","LMS system","2026-07-17","passed","2026-07-17","Authorization","Authentication","",""
"","1902","User login with wrong email or password","LMS system","2026-07-17","passed","2026-07-17","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","2026-07-17","passed","2026-07-17","TestUserInterface","test_markers","",""
"","2573","User login with wrong email or password","LMS system","2026-07-17","passed","2026-07-17","Authorization","Authentication","",""
"","1705","User login with wrong email or password","LMS system","2026-07-17","passed","2026-07-17","Authorization","Authentication","",""
"","3098","Create course","LMS system","2026-07-17","passed","2026-07-17","Courses","Courses","",""
"","4576","Edit course","LMS system","2026-07-17","passed","2026-07-17","Courses","Courses","",""
"","1485","Check displaying of empty courses list","LMS system","2026-07-17","passed","2026-07-17","Courses","Courses","",""
"","3285","Create course","LMS system","2026-07-17","passed","2026-07-17","Courses","Courses","",""
"","0","test_logout","tests.pytest","2026-07-17","passed","2026-07-17","TestUserAuthentication","test_markers","",""
"","1913","Registration with correct email, username and password","LMS system","2026-07-17","passed","2026-07-17","Registration","Authentication","",""
"","5605","Edit course","LMS system","2026-07-17","passed","2026-07-17","Courses","Courses","",""
"","1699","Navigation from login page to registration page","LMS system","2026-07-17","passed","2026-07-17","Authorization","Authentication","",""
"","1823","Navigation from login page to registration page","LMS system","2026-07-17","passed","2026-07-17","Authorization","Authentication","",""
"","2077","Check displaying of dashboard page","LMS system","2026-07-17","passed","2026-07-17","Dashboard","Dashboard","",""
"","10628","User login with correct email and password","LMS system","2026-07-17","passed","2026-07-17","Authorization","Authentication","",""
"","2950","Create course","LMS system","2026-07-17","passed","2026-07-17","Courses","Courses","",""
"","2100","User login with wrong email or password","LMS system","2026-07-17","passed","2026-07-17","Authorization","Authentication","",""
"","1864","User login with wrong email or password","LMS system","2026-07-17","passed","2026-07-17","Authorization","Authentication","",""
"","3935","User login with correct email and password","LMS system","2026-07-17","passed","2026-07-17","Authorization","Authentication","",""
"","2002","User login with wrong email or password","LMS system","2026-07-17","passed","2026-07-17","Authorization","Authentication","",""
"","2876","Check displaying of dashboard page","LMS system","2026-07-17","passed","2026-07-17","Dashboard","Dashboard","",""
"","1923","User login with wrong email or password","LMS system","2026-07-17","passed","2026-07-17","Authorization","Authentication","",""
"","1831","User login with wrong email or password","LMS system","2026-07-17","passed","2026-07-17","Authorization","Authentication","",""
"","4673","Edit course","LMS system","2026-07-17","passed","2026-07-17","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","2026-07-17","passed","2026-07-17","TestUserAuthentication","test_markers","",""
"","2576","Check displaying of dashboard page","LMS system","2026-07-17","passed","2026-07-17","Dashboard","Dashboard","",""
"","0","test_login","tests.pytest","2026-07-17","passed","2026-07-17","TestUserAuthentication","test_markers","",""
"","0","test_smoke_test","tests.pytest","2026-07-17","passed","2026-07-17","","test_markers","",""
"","3567","User login with correct email and password","LMS system","2026-07-17","passed","2026-07-17","Authorization","Authentication","",""
"","1746","User login with wrong email or password","LMS system","2026-07-17","passed","2026-07-17","Authorization","Authentication","",""
"","1840","Check displaying of empty courses list","LMS system","2026-07-17","passed","2026-07-17","Courses","Courses","",""
